"Advertiser_ID";"Advertiser_Name";"Specific_Party";"Support_Type_uncleaned";"Support_Type";"Broad_Sector";"Spend_USD";"Public_IDs_List";"FEC_registered"
"AR405743223990910976";"JUST THE TRUTH POLITICAL ACTION COMMITTEE";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";465300;"FEC ID C00747097";"YES"
"AR94030784163217408";"US HOUSE OF REPRESENTATIVES";"NONPARTISAN";"state";"government";"Government";462200;"EIN ID 53-6002523";"NO"
"AR79963563677974528";"ALL VOTERS VOTE, INC.";"NONPARTISAN";"Political_Action_Commitees";"pac";"civil rights";458900;"EIN ID 47-3297254";"NO"
"AR332165142810722304";"BEYOND CARBON VICTORY FUND";"DEMOCRATIC";"501(c)(3)";"50x";"Ideology/Single Issue";447100;"EIN ID 84-2840198";"NO"
"AR379973282775957504";"FF PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";443300;"FEC ID C00669259";"YES"
"AR240131346641453056";"A STRONGER MISSOURI";"DEMOCRATIC";"Political_Action_Commitees";"pac";"region";440400;"EIN ID 85-1198692";"NO"
"AR120137038497316864";"BOB CASEY FOR SENATE INC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Candidate";433700;"FEC ID C00431056";"YES"
"AR536202683808219136";"NEW DAY MEDIA SERVICES, LLC";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";432000;"EIN ID 27-2479319";"NO"
"AR244245100677300224";"UNITE THE COUNTRY";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";429300;"FEC ID C00701888";"YES"
"AR6291611692564480";"PRIORITIES USA ACTION & COLOROFCHANGE PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";426500;"FEC ID C00428557, FEC ID C00495861";"YES"
"AR270113379463462912";"YES FOR A HEALTHY FUTURE";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"law";426200;"Registered in Oregon";"NO"
"AR468754998428172288";"DR. AL GROSS FOR U.S. SENATE";"NONPARTISAN";"Authorized_campaign_committees";"campaign committee";"Candidate";424800;"EIN ID 83-3487001,FEC ID C00710822";"YES"
"AR72799420789293056";"CALIFORNIA SECRETARY OF STATE";"NONPARTISAN";"state";"government";"Government";420800;"EIN ID 90-0603904";"NO"
"AR23854798117797888";"DEFENDARIZONA";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";420200;"FEC ID C00668301,EIN ID 82-4255600";"YES"
"AR97319492161372160";"SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)";"NONPARTISAN";"NONPARTISAN";"other";"other";419400;"FEC ID C00004036";"YES"
"AR262602271936741376";"PIEDMONT RISING, INC.";"DEMOCRATIC";"501(c)(4)";"50x";"Ideology/Single Issue";417000;"EIN ID 84-2378026";"NO"
"AR32907489666138112";"YES ON 16, OPPORTUNITY FOR ALL COALITION, SPONSORED BY CIVIL RIGHTS ORGANIZATIONS";"DEMOCRATIC";"Political_Action_Commitees";"pac";"law";410300;"Registered in California 1425738";"YES"
"AR172638718723620864,AR6634040845139968";"DEMOCRATIC PARTY OF WISCONSIN";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";409500;"EIN ID 39-0793066,FEC ID C00019331";"YES"
"AR341420762973863936";"NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";406600;"FEC ID C00603084";"YES"
"AR149834435246686208";"FRIENDS OF SPENCER COX";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";403100;"EIN ID 46-5688086";"NO"
"AR531090504494874624";"LCV VICTORY FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";400800;"FEC ID C00486845";"YES"
"AR150536335982067712";"CISNEROS FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";399700;"FEC ID C00650648";"YES"
"AR12902425354567680";"CALIFORNIANS FOR EQUAL RIGHTS, NO ON 16";"DEMOCRATIC";"Political_Action_Commitees";"pac";"law";394900;"Registered in California 1427809";"NO"
"AR18817041997758464";"MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";391300;"FEC ID C00031054,EIN ID 38-1323848";"YES"
"AR412988112264757248,AR573939159824072704";"DOUG JONES FOR SENATE COMMITTEE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";379600;"FEC ID C00640623,EIN ID 82-1446425";"YES"
"AR134527103084265472";"AFSCME SPECIAL ACCOUNT";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"Ideology/Single Issue";375600;"EIN ID 91-2064198";"NO"
"AR419929878926721024";"SPANBERGER FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";371900;"FEC ID C00649913";"YES"
"AR205348846052573184,AR346269196935495680";"MICHIGAN REPUBLICAN PARTY";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";368000;"EIN ID 38-1221182,FEC ID C00041160";"YES"
"AR301012336263561216";"BLAZE MEDIA LLC FKA CRTV LLC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";352800;"EIN ID 46-5607819";"NO"
"AR388437666883960832";"MOVEON.ORG POLITICAL ACTION";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";347500;"FEC ID C00341396";"YES"
"AR76226942130454528";"BRIAN FITZPATRICK FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";335000;"FEC ID C00607416";"YES"
"AR461926206585962496";"COLOROFCHANGE PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";334100;"FEC ID C00428557";"YES"
"AR352100113256022016";"JOSH STEIN FOR ATTORNEY GENERAL";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";328300;"EIN ID 47-5040088";"NO"
"AR117183337948250112";"UNICORN WEALTH, LLC";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"merchandize";326100;"EIN ID 84-2045992";"NO"
"AR37396795642347520";"OPPORTUNITY MATTERS FUND, INC.";"REPUBLICAN";"501(c)(3";"50x";"Ideology/Single Issue";322900;"FEC ID C00750182";"YES"
"AR260785947447132160";"NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE";"DEMOCRATIC";"501(c)(4)";"50x";"civil rights";322700;"EIN ID 38-4108034";"NO"
"AR203620482493186048";"TEAM HAGERTY";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";316400;"FEC ID C00718627,EIN ID 84-2943264";"YES"
"AR573874700954894336";"MAX ROSE FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";316400;"FEC ID C00652248";"YES"
"AR80104576044236800";"SECURITY IS STRENGTH PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";309000;"FEC ID C00573733";"YES"
"AR139975251919372288";"KEAN FOR CONGRESS INC";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";296000;"FEC ID C00703058";"YES"
"AR134254767797960704";"JOSH HARDER FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";294100;"FEC ID C00639146";"YES"
"AR246860563961872384,AR75101042223611904";"CLUB FOR GROWTH ACTION";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";293700;"EIN ID 27-3167202,FEC ID C00487470";"YES"
"AR121357702562578432";"HOMEOWNERS AND TENANTS UNITED";"NONPARTISAN";"Political_Action_Commitees";"pac";"civil rights";288100;"EIN ID 84-1894569";"NO"
"AR311876473218662400";"ACRONYM";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";286300;"EIN ID 82-1630469";"YES"
"AR40001263810641920";"NO ON MEASURE J - PROTECT ESSENTIAL WORKERS";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"law";284100;"EIN ID 85-2704535";"NO"
"AR294651524057923584";"PLANNED PARENTHOOD ACTION FUND INC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";283000;"FEC ID C90005471";"YES"
"AR198246481973477376";"KENNEDY FOR MASSACHUSETTS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";280000;"FEC ID C00512970";"YES"
"AR317169522194776064";"PROTECT FREEDOM POLITICAL ACTION COMMITTEE";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";279800;"FEC ID C00657866";"YES"
"AR66093842968870912";"HARLEY ROUDA FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";275600;"FEC ID C00633982";"YES"
"AR278069583041003520";"AMERICAN FEDERATION OF TEACHERS, AFL-CIO";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"Ideology/Single Issue";275200;"EIN ID 36-0725240";"YES"
"AR209724627453214720,AR2646249610149888";"RGA RIGHT DIRECTION PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";274400;"FEC ID C00490730,EIN ID 27-3729634";"YES"
"AR332841205022851072";"EMERGING AMERICAN MAJORITIES";"DEMOCRATIC";"501(c)(4)";"50x";"civil rights";266700;"EIN ID 81-4100201";"NO"
"AR52870497657946112,AR562682153620471808";"BLACK PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";262700;"EIN ID 81-1460820,FEC ID C00609388";"YES"
"AR309697722208747520";"OUR AMERICAN CENTURY";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";259700;"FEC ID C00532630";"YES"
"AR444946723396124672";"THERESA GREENFIELD FOR IOWA";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";258200;"FEC ID C00708164";"YES"
"AR457973462284107776";"CHISPA AZ PAC";"NONPARTISAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";254600;"EIN ID 82-4798899";"NO"
"AR304610900382318592";"ELAINE FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";254200;"FEC ID C00664375";"YES"
"AR202327731696828416";"CLEARPATH ACTION FUND, INC.";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";253800;"EIN ID 81-1199760";"YES"
"AR446008782909079552";"GEORGIANS FOR KELLY LOEFFLER";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";250800;"EIN ID 84-3859696";"YES"
"AR334792288406339584";"GEORGIA UNITED VICTORY";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";249600;"EIN ID 85-1657595";"YES"
"AR150782626586689536,AR215480295946715136";"TINA SMITH FOR MINNESOTA";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";248400;"FEC ID C00663781,EIN ID 82-3679681";"YES"
"AR425562470837387264";"COLLECTIVE FUTURE";"NONPARTISAN";"501(c)(3)";"50x";"civil rights";248200;"EIN ID 82-3079496";"NO"
"AR261796398633058304";"2020 OUR OREGON VOTER GUIDE PAC";"NONPARTISAN";"Political_Action_Commitees";"pac";"region";242400;"EIN ID 85-3295361";"NO"
"AR442289409950220288";"UNITING MISSOURI PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";239100;"EIN ID 83-1066014";"YES"
"AR338146005029486592";"EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND)";"NONPARTISAN";"NONPARTISAN";"other";"other";238900;"FEC ID C00688655";"YES"
"AR520967644535324672";"CORY GARDNER FOR SENATE";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";237700;"EIN ID 26-4730292,FEC ID C00492454";"YES"
"AR534512184680513536";"LATINO VICTORY FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";235400;"FEC ID C00562777";"YES"
"AR415569009652531200";"THE VOTER PARTICIPATION CENTER";"NONPARTISAN";"501(c)(3)";"50x";"civil rights";233200;"EIN ID 55-0889748";"NO"
"AR285228709407883264";"DFL HOUSE CAUCUS";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Party";230100;"EIN ID 41-6143289";"NO"
"AR557345605215584256";"COMMITTEE TO PROTECT MEDICARE PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"law";229300;"FEC ID C00736637";"YES"
"AR147589644819628032";"JOE CUNNINGHAM FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";228600;"FEC ID C00650507";"YES"
"AR377141765456527360,AR531527216769531904";"LEADING COLORADO FORWARD";"DEMOCRATIC";"501(c)(4)";"50x";"region";228100;"Registered in Colorado 20185036163";"YES"
"AR58136265001795584";"NATIONAL DEMOCRATIC REDISTRICTING COMMITTEE";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Party";226600;"EIN ID 81-3554739";"NO"
"AR176705399917903872";"JACKIE GORDON FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";225700;"FEC ID C00706549";"YES"
"AR342793984277479424";"A BETTER WISCONSIN TOGETHER, INC.";"DEMOCRATIC";"501(c)(4)";"50x";"region";224200;"EIN ID 84-3646174";"NO"
"AR60464343434657792";"EVERYTOWN FOR GUN SAFETY ACTION FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";215300;"FEC ID C90015025";"YES"
"AR53571367601176576";"UNITE FOR COLORADO";"NONPARTISAN";"Political_Action_Commitees";"pac";"region";215100;"EIN ID 84-3634826";"YES"
"AR329598401635155968";"CINDY AXNE FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";211800;"EIN ID 82-1685207,FEC ID C00646844";"YES"
"AR176432033839448064";"NARAL PRO-CHOICE AMERICA";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";207100;"FEC ID C90004185";"YES"
"AR515904256050462720";"EDF ACTION VOTES";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";207000;"FEC ID C00707844";"YES"
"AR356641096278736896";"PROJECT YELLOWSTONE, INC";"DEMOCRATIC";"NONPARTISAN";"other";"civil rights";202900;"EIN ID 84-3334327";"NO"
"AR40198145111490560";"MONTANANS FOR TESTER";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";202000;"FEC ID C00412304";"YES"
"AR117492094557224960";"OHIO SECRETARY OF STATE";"NONPARTISAN";"state";"government";"Government";201400;"EIN ID 31-1334820";"NO"
"AR29370154601152512";"REPUBLICAN PARTY OF IOWA";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";200700;"FEC ID C00014498EIN ID 42-0489295";"YES"
"AR56264209016553472";"KATIE HILL FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";200600;"FEC ID C00634212";"YES"
"AR93524940094963712";"POSTMATES INC.";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";199700;"EIN ID 45-2730241";"NO"
"AR513319922688851968";"TRICOM ASSOCIATES, INC";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";198800;"EIN ID 54-1737517";"NO"
"AR456716445615652864";"IOWA VALUES ACTION";"REPUBLICAN";"Political_Action_Commitees";"pac";"region";190600;"EIN ID 85-1961400";"YES"
"AR330680321076887552";"HANDEL FOR CONGRESS, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";190000;"FEC ID C00633362";"YES"
"AR194396610728296448";"AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES P E O P L E";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"Ideology/Single Issue";189300;"FEC ID C00011114";"YES"
"AR242725987924574208";"VOTEVETS";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";189200;"FEC ID C00418897";"YES"
"AR464488687153971200";"BE A HERO PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";186200;"FEC ID C00678995";"YES"
"AR351655360802586624";"NO ON PROP 21: CALIFORNIANS FOR RESPONSIBLE HOUSING, A COALITION OF SENIORS, VETERANS, AFFORDABLE HOUSING ADVOCATES, LABOR & SOCIAL JUSTICE ORGANIZATIONS, SPONSORED BY CALIFORNIA APARTMENT ASSOCIATION";"NONPARTISAN";"Political_Action_Commitees";"pac";"law";185000;"Registered in California 1421884";"NO"
"AR491957373833838592";"CUMMINGS FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";184600;"FEC ID C00712257";"YES"
"AR532950672010641408";"NUESTRO PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";184600;"FEC ID C00744185";"YES"
"AR342002885661294592";"WENDY DAVIS FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";182800;"FEC ID C00713297,EIN ID 84-2362587";"YES"
"AR64296897371701248";"SUPERMAJORITY PAC";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";179200;"FEC ID C00723098";"YES"
"AR78785299529859072";"SENATE VICTORY PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Party";178900;"EIN ID 45-3855268";"YES"
"AR299865408196837376";"CAROLYN FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";178100;"FEC ID C00649376";"YES"
"AR262213319698415616";"VIACOM INTERNATIONAL INC.";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";177600;"EIN ID 20-3696882";"NO"
"AR205938184285061120";"YES FOR PSILOCYBIN THERAPY";"NONPARTISAN";"NONPARTISAN";"other";"law";176100;"Registered in Oregon";"NO"
"AR536720004029087744";"STEIL FOR WISCONSIN, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";175300;"FEC ID C00677286";"YES"
"AR436057515482939392";"Data Targeting, Inc.";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";172900;"EIN ID 59-3347457";"NO"
"AR304375604893974528";"KATIE PORTER FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";170300;"FEC ID C00636571";"YES"
"AR100996740080992256";"FreedomWorks Inc";"NONPARTISAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";169700;"EIN ID 52-1349353";"YES"
"AR408367414649028608";"FRIENDS OF LUCY MCBATH";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";168600;"FEC ID C00672295";"YES"
"AR529255694466023424";"CHRIS COONS FOR DELAWARE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";168200;"FEC ID C00475392";"YES"
"AR527920268874612736";"COMMUNITY CHANGE VOTERS";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";167900;"EIN ID 81-1708999";"YES"
"AR42449944925175808";"MARTIN HEINRICH FOR SENATE";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";167100;"FEC ID C00434563";"YES"
"AR144198750959566848";"CASTEN FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";166900;"FEC ID C00648493";"YES"
"AR307397543883440128";"GREENSTRIPE MEDIA, INC.";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";165300;"EIN ID 95-3438372";"NO"
"AR487626603690459136";"YES ON NATIONAL POPULAR VOTE";"DEMOCRATIC";"501(c)(4)";"50x";"law";161800;"EIN ID 84-2501310";"NO"
"AR50581039571009536";"NYS DEMOCRATIC SENATE CAMPAIGN COMMITTEE (NYS DSCC)";"NONPARTISAN";"NONPARTISAN";"other";"other";159400;"Registered in New York A01540";"NO"
"AR400094483003211776";"GOOD JOBS MT";"DEMOCRATIC";"NONPARTISAN";"other";"region";158900;"EIN ID 84-4865886";"NO"
"AR352527273523412992";"YES ON PROP 25, A COALITION OF JUSTICE REFORM AND LABOR ORGANIZATIONS";"NONPARTISAN";"Political_Action_Commitees";"pac";"law";156000;"EIN ID 84-3779034";"NO"
"AR543103012625711104";"THE COMMUNICATIONS GROUP, INC.";"REPUBLICAN";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";155900;"EIN ID 71-0655519";"NO"
"AR78725032548761600";"HALEY STEVENS FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";155000;"FEC ID C00638650";"YES"
"AR473134284522127360";"U.S. Term Limits";"REPUBLICAN";"501(c)(4)";"50x";"law";154000;"EIN ID 52-1701352";"NO"
"AR473443109850578944";"ELECT CAROLYN LONG";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";153600;"FEC ID C00660472";"YES"
"AR416566885174214656";"A4 MEDIA DATA SOLUTIONS LLC";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";153500;"EIN ID 81-5328348";"NO"
"AR463471638898278400";"DUTY AND COUNTRY";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";152800;"FEC ID C00666388";"YES"
"AR128727179247747072";"A BRIGHTER, HEALTHIER FUTURE FOR COLORADO'S KIDS";"NONPARTISAN";"other";"other";"region";151400;"Registered in Colorado 20205038135";"NO"
"AR31499565026770944";"NARAL FREEDOM FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"civil rights";151200;"FEC ID C00738674";"YES"
"AR12050647440424960";"ANGIE CRAIG FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";151000;"FEC ID C00575209";"YES"
"AR140649527425105920";"FRIENDS OF DAN FEEHAN";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";150200;"FEC ID C00649327";"YES"
"AR333551833131778048";"LEAGUE OF CONSERVATION VOTERS, INC.";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";148700;"EIN ID 52-1733698";"YES"
"AR43917105753489408";"AMERICAN ADVANCEMENT, INC.";"REPUBLICAN";"NONPARTISAN";"other";"Candidate";148300;"EIN ID 82-4871132";"NO"
"AR166505642863886336";"FREEDOM CLUB";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";148000;"EIN ID 80-0684337";"YES"
"AR50362717793419264";"REPUBLICAN SENATE CAMPAIGN COMMITTEE";"REPUBLICAN";"Political_Party_Committee";"party committee";"Party";147500;"EIN ID 31-6153657";"YES"
"AR575075711249809408";"COLLINS FOR SENATE, INC.";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";147400;"FEC ID C00736983";"YES"
"AR23064867732717568";"314 ACTION FUND";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";144600;"FEC ID C00633248,EIN ID 81-5374617";"YES"
"AR318295422101618688";"JOSH GOTTHEIMER FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";144600;"FEC ID C00573949";"YES"
"AR55001694789959680";"FAIR FIGHT, INC.";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Ideology/Single Issue";144400;"EIN ID 83-2540441";"NO"
"AR472116617791143936";"SCHOLTEN FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";144300;"FEC ID C00711317";"YES"
"AR165221275843690496";"NORTH FUND";"DEMOCRATIC";"501(c)(4)";"50x";"Ideology/Single Issue";143900;"EIN ID 83-4011547";"NO"
"AR537845903935930368";"DR KIM SCHRIER FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";143900;"FEC ID C00652628";"YES"
"AR86360041292038144";"DAVID TRONE FOR CONGRESS, INC";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";141800;"FEC ID C00653196";"YES"
"AR208412085447557120";"ALASKANS FOR DAN SULLIVAN";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";140200;"EIN ID 47-2698288,FEC ID C00570994";"YES"
"AR467323709166714880";"DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE";"DEMOCRATIC";"Political_Party_Committee";"party committee";"Ideology/Single Issue";139900;"EIN ID 26-3853861";"NO"
"AR49703354414137344";"KIM KLACIK FOR CONGRESS";"REPUBLICAN";"Candidate Committee";"campaign committee";"Candidate";139200;"FEC ID C00726117";"YES"
"AR62007233126334464";"MICHELLE STEEL FOR CONGRESS";"REPUBLICAN";"Authorized_campaign_committees";"campaign committee";"Candidate";139000;"FEC ID C00704981";"YES"
"AR571633140343242752";"MIKEBLOOMBERG.COM LLC";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";136800;"EIN ID 26-0521901";"NO"
"AR467039279252504576";"FOUR MORE YEARS PAC";"REPUBLICAN";"Political_Action_Commitees";"pac";"Ideology/Single Issue";135700;"FEC ID C00692467";"YES"
"AR451892407068262400";"CANDACE FOR 24";"DEMOCRATIC";"Political_Action_Commitees";"pac";"Candidate";135200;"FEC ID C00702225";"YES"
"AR174228475098431488,AR535176770740027392";"COMMONWEALTH COMMUNICATIONS";"DEMOCRATIC";"Corporation_and_Labor_special_funds";"corporation/labor";"communications";134900;"EIN ID 84-4535961,FEC ID C90019670";"YES"
"AR134358121890971648";"TJ COX FOR CONGRESS";"DEMOCRATIC";"Authorized_campaign_committees";"campaign committee";"Candidate";134800;"FEC ID C00648956";"YES"
