"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"Joe Biden";"BIDEN VICTORY FUND";53579067;52263;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00744946";"DC";"J";"";"";"NONE";"";"N"
"Donald J. Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";38433421;95545;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Joe Biden";"BIDEN FOR PRESIDENT";20571704;32560;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00703975";"PA";"P";"DEM";"";"BIDEN VICTORY FUND";"P80000722";"P"
"Donald J. Trump";"DONALD J. TRUMP FOR PRESIDENT, INC.";19302391;163141;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00580100";"NY";"P";"REP";"";"";"P80001571";"P"
"Facebook App";"FACEBOOK, INC.";18849831;678;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Facebook";"FACEBOOK, INC.";17020580;978;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Instagram";"FACEBOOK, INC.";13242966;116;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Stop Republicans";"STOP REPUBLICANS";11411585;3039;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00633404";"IL";"U";"";"";"PROGRESSIVE TURNOUT PROJECT";"";"V"
"Team Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";11192763;22944;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Progressive Turnout Project";"PROGRESSIVE TURNOUT PROJECT";8404326;4008;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00580068";"IL";"U";"";"";"";"";"W"
"Democratic Party";"DNC SERVICES CORP./DEM. NAT'L COMMITTEE";8367853;19026;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00010603";"DC";"U";"DEM";"";"DEMOCRATIC GRASSROOTS VICTORY FUND";"";"Y"
"GOP";"REPUBLICAN NATIONAL COMMITTEE";7737620;57096;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00003418";"DC";"U";"REP";"";"COLORADO TRUMP VICTORY";"";"Y"
"Jaime Harrison";"JAIME HARRISON FOR US SENATE";7008423;1629;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00696153";"SC";"P";"DEM";"";"";"S0SC00289";"S"
"Mike Pence";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";6485220;10924;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Lindsey Graham";"TEAM GRAHAM, INC.";5829291;1382;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00458828";"SC";"P";"REP";"";"GRAHAM MAJORITY FUND";"S0SC00149";"S"
"Yes on Prop 22";"YES ON 22 – SAVE APP-BASED JOBS & SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM UBER TECHNOLOGIES, LYFT, AND DOORDASH.";5382534;1229;"NON-PARTISAN";"NONPARTISAN";"Labor";"law";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"ExxonMobil";"EXXON MOBIL CORPORATION";5160166;1260;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00121368";"DC";"B";"";"C";"EXXON MOBIL CORPORATION";"";"Q"
"Progressive Takeover";"PROGRESSIVE TAKEOVER";5100020;989;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00659599";"IL";"U";"";"";"PROGRESSIVE TURNOUT PROJECT";"";"N"
"WhatsApp";"WHATSAPP INC.";5000000;133;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"The Lincoln Project";"THE LINCOLN PROJECT";4779720;2967;"ANTI-REPUBLICAN";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00725820";"DC";"U";"";"";"";"";"O"
"Republican Voters Against Trump";"DEFENDING DEMOCRACY TOGETHER";4526980;2144;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C00665596";"VA";"U";"";"";"";"";"O"
"No On Proposition 23";"NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PROPOSITION, A COALITION OF DIALYSIS PROVIDERS, NURSES, DOCTORS AND PATIENTS. COMMITTEE MAJOR FUNDING FROM DAVITA, FRESENIUS MEDICAL CARE, US RENAL CARE";4302798;718;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"law";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Kamala Harris";"BIDEN VICTORY FUND";4291733;3994;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00744946";"DC";"J";"";"";"NONE";"";"N"
"Democratic Strategy Institute";"DEMOCRATIC STRATEGY INSTITUTE";4165240;2837;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00745786";"DC";"U";"";"";"NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC";"";"V"
"Senate Democrats";"DSCC";4029838;4497;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00042366";"DC";"U";"DEM";"";"";"";"Y"
"When We All Vote";"WHEN WE ALL VOTE";4014869;1037;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"America First Action";"AMERICA FIRST ACTION";3912744;3799;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00637512";"VA";"U";"";"";"";"";"O"
"U.S. Census Bureau";"U.S. CENSUS BUREAU";3658788;386;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"state";"government";"NO";"";"";"";"";"";"";"";""
"Vote Yes For Fairness";"VOTE YES FOR FAIRNESS";3594147;993;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C30003263";"IL";"U";"";"";"";"";"E"
"Captain Mark Kelly";"MARK KELLY FOR SENATE";3558724;1134;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00696526";"AZ";"P";"DEM";"";"";"S0AZ00350";"S"
"Women Vote";"WOMEN VOTE!";2977090;1280;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00473918";"DC";"U";"";"";"EMILY'S LIST";"";"O"
"Cost of Chaos";"PRIORITIES USA ACTION. 202-455-8428. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";2937710;7993;"DEMOCRATIC";"DEMOCRATIC";"Ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"";"";"";"";"";"";"";""
"Democratic Governors Association (DGA)";"DEMOCRATIC GOVERNORS ASSOCIATION";2884356;3068;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"527 organization";"other";"NO";"";"";"";"";"";"";"";""
"People's Power Grab";"ACRONYM";2725042;2423;"DEMOCRATIC";"DEMOCRATIC";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"YES";"C00646877";"DC";"U";"";"";"NONE";"";"O"
"How to Vote";"ACRONYM";2706237;1222;"DEMOCRATIC";"DEMOCRATIC";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"YES";"C00646877";"DC";"U";"";"";"NONE";"";"O"
"Voto Latino";"VOTO LATINO INC.";2670929;4392;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)3";"50x";"NO";"";"";"";"";"";"";"";""
"Amy McGrath";"AMY MCGRATH FOR SENATE, INC.";2638909;1690;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00711549";"KY";"P";"DEM";"";"";"S0KY00339";"S"
"NRA Institute for Legislative Action";"NRA VICTORY FUND";2628385;945;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00741710";"VA";"U";"";"";"";"";"O"
"Register to Vote Republican";"REPUBLICAN NATIONAL COMMITTEE";2565208;35185;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00003418";"DC";"U";"REP";"";"COLORADO TRUMP VICTORY";"";"Y"
"Sara Gideon";"SARA GIDEON FOR MAINE";2540619;2736;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00709899";"ME";"P";"DEM";"";"";"S0ME00111";"S"
"Stop the Illinois Tax Hike Amendment";"COALITION TO STOP THE PROPOSED TAX HIKE AMENDMENT";2378970;3590;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"House Majority PAC";"HOUSE MAJORITY PAC";2310754;1696;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_Action_Commitees";"pac";"YES";"C00495028";"DC";"U";"";"";"";"";"W"
"AFP Action";"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)";2263716;1618;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00687103";"VA";"U";"";"";"";"";"O"
"WorkMoney";"WORKMONEY";2188899;1648;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C90020199";"WI";"U";"";"";"";"";"I"
"Mitch McConnell";"MCCONNELL SENATE COMMITTEE";2148338;238;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00193342";"KY";"P";"REP";"";"MCCONNELL FOR MAJORITY LEADER COMMITTEE";"S2KY00012";"S"
"CFG Action";"CLUB FOR GROWTH ACTION";2136801;682;"REPUBLICAN";"REPUBLICAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00487470";"DC";"U";"";"";"";"";"O"
"The Collective PAC";"COLLECTIVE FUTURE";2121249;5315;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"National Democratic Training Committee";"NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC";2061947;1586;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00603084";"DC";"U";"";"";"NONE";"";"V"
"One North Carolina";"PRIORITIES USA ACTION AND SMP. (202) 455-8428. (202) 871-9255. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";2033109;485;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Power the Polls";"POWER THE POLLS";1995219;12449;"NON-PARTISAN";"NONPARTISAN";"civil service";"civil service";"?";"other";"NO";"";"";"";"";"";"";"";""
"Future Majority";"FUTURE MAJORITY, INC";1928498;1712;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Democratic Party of Wisconsin";"DEMOCRATIC PARTY OF WISCONSIN";1917800;659;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00019331";"WI";"U";"DEM";"";"DNC WI STATE PARTY VICTORY FUND";"";"Y"
"NumbersUSA";"NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION";1899984;460;"NON-PARTISAN";"NONPARTISAN";"polling";"other";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Unite the Country";"UNITE THE COUNTRY";1846467;1274;"DEMOCRATIC";"DEMOCRATIC";"Ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00701888";"DC";"U";"";"";"VICTORY 2020";"";"O"
"Everytown for Gun Safety";"EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND)";1831699;102;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(3)";"50x";"YES";"";"";"";"";"";"";"";""
"Preserve America PAC";"PRESERVE AMERICA PAC";1824762;326;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00756882";"VA";"U";"";"";"NONE";"";"O"
"Steve Daines";"STEVE DAINES FOR MONTANA";1814054;1645;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00491357";"MT";"P";"REP";"";"JAMES-DAINES VICTORY";"S2MT00096";"S"
"NextGen America";"NEXTGEN CLIMATE ACTION COMMITTEE";1772552;2305;"DEMOCRATIC";"DEMOCRATIC";"climate";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00547349";"DC";"U";"";"";"NONE";"";"O"
"Everytown for Gun Safety";"EVERYTOWN FOR GUN SAFETY ACTION FUND INC";1739022;1386;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)(3)";"50x";"YES";"C00640086";"NY";"B";"";"M";"EVERYTOWN FOR GUN SAFETY ACTION FUND, INC.";"";"N"
"Red Table Talk";"FACEBOOK, INC.";1720497;8;"NON-PARTISAN";"NONPARTISAN";"communications";"communications";"Political_Action_Commitees";"pac";"YES";"C00502906";"DC";"B";"";"C";"FACEBOOK INC.";"";"Q"
"Vote By Mail 2020";"PRIORITIES USA ACTION AND SMP. (202) 455-8428. (202) 871-9255. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";1710388;9104;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"No On Prop 21";"NO ON PROP 21: CALIFORNIANS FOR RESPONSIBLE HOUSING";1678602;437;"NON-PARTISAN";"NONPARTISAN";"law";"law";"Political_Action_Commitees";"pac";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"Yes on Prop 22";"YES ON 22 – SAVE APP-BASED JOBS & SERVICES: A COALITION OF ON-DEMAND DRIVERS AND PLATFORMS, SMALL BUSINESSES, PUBLIC SAFETY AND COMMUNITY ORGANIZATIONS. COMMITTEE MAJOR FUNDING FROM LYFT, UBER TECHNOLOGIES, AND DOORDASH.";1669275;171;"NON-PARTISAN";"NONPARTISAN";"Labor";"law";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"YES on 14: CA for Stem Cell Research & Cures";"YES ON 14: CALIFORNIANS FOR STEM CELL RESEARCH, TREATMENTS AND CURES. COMMITTEE MAJOR FUNDING FROM ROBERT N. KLEIN II AND AFFILIATED ENTITY KLEIN FINANCIAL CORPORATION, DAGMAR DOLBY, JDRF INTERNATIONAL. FUNDING DETAILS AT WWW.FPPC.CA.GOV";1656812;247;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"law";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"America Votes For Biden";"TECH FOR CAMPAIGNS";1652632;1181;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00636027";"CA";"U";"";"";"NONE";"";"V"
"John W. Hickenlooper";"HICKENLOOPER FOR COLORADO";1636877;2876;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00716720";"CO";"P";"DEM";"";"HICKENLOOPER VICTORY FUND";"S0CO00575";"S"
"Gary Peters";"PETERS FOR MICHIGAN";1630171;2425;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00437889";"MI";"P";"DEM";"";"PETERS VICTORY 2020";"S4MI00355";"S"
"Vote By Mail 2020";"PRIORITIES USA ACTION. 202-455-8428. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";1593384;11470;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00495861";"DC";"U";"";"";"";"";"V"
"America Votes Trump Out";"TECH FOR CAMPAIGNS";1545905;1433;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00636027";"CA";"U";"";"";"NONE";"";"V"
"Energy Citizens";"AMERICAN PETROLEUM INSTITUTE";1530171;3082;"NON-PARTISAN";"NONPARTISAN";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00483677";"DC";"B";"";"T";"";"";"Q"
"Four Is Enough";"PACRONYM, PACRONYM.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.";1530030;2865;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00646877";"DC";"U";"";"";"NONE";"";"O"
"PhRMA";"PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA";1516146;304;"DEMOCRATIC";"DEMOCRATIC";"Healthcare";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00021972";"DC";"B";"";"T";"PHARMACEUTICAL RESEARCH & MANUFACTURERS OF AMERICA";"";"Q"
"Alexandria Ocasio-Cortez";"ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS";1504564;12025;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00639591";"NY";"P";"DEM";"";"THE SQUAD VICTORY FUND";"H8NY15148";"H"
"Alliance for Climate Education";"ALLIANCE FOR CLIMATE EDUCATION";1488767;4263;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"501(c)3";"50x";"NO";"";"";"";"";"";"";"";""
"Congressional Leadership Fund";"CONGRESSIONAL LEADERSHIP FUND";1479535;896;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_Action_Commitees";"pac";"YES";"C00504530";"DC";"U";"";"";"";"";"O"
"Jon Ossoff";"JON OSSOFF FOR SENATE";1466593;1021;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00718866";"GA";"P";"DEM";"";"";"S8GA00180";"S"
"I'll go ahead and keep my guns, Thanks";"2A4LIFE LLC";1462337;211;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Women for Trump";"TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE";1451431;1767;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00618371";"NY";"J";"";"";"NONE";"";"N"
"Majority Forward";"MAJORITY FORWARD";1427226;202;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C30002802";"DC";"U";"";"";"";"";"E"
"End Citizens United";"END CITIZENS UNITED";1413357;1232;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00573261";"DC";"U";"";"";"LET AMERICA VOTE PAC";"";"Q"
"ACLU";"AMERICAN CIVIL LIBERTIES UNION";1344959;2005;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"501(c)(3)/(4)";"50x";"YES";"C90017807";"NY";"U";"";"";"";"";"I"
"The Kids Guide";"THE KIDS GUIDE";1331705;804;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"NRSC";"NRSC";1314964;1380;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00027466";"DC";"U";"REP";"";"YOUNG VICTORY COMMITTEE";"S4AK00214";"Y"
"We the People 2020";"PRIORITIES USA ACTION. 202-455-8428. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";1283559;3353;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00495861";"DC";"U";"";"";"";"";"V"
"PragerU";"PRAGERU";1233293;948;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Steve Bullock";"MONTANANS FOR BULLOCK";1222368;3867;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00741611";"MT";"P";"DEM";"";"";"S0MT00173";"S"
"California Secretary of State";"CALIFORNIA SECRETARY OF STATE";1221696;179;"NON-PARTISAN";"NONPARTISAN";"Government Agencies/Education/Other";"Government";"state";"government";"NO";"";"";"";"";"";"";"";""
"Planned Parenthood Action";"PLANNED PARENTHOOD VOTES";1215122;1539;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00489799";"NY";"U";"";"";"NONE";"";"O"
"We the People 2020";"PRIORITIES USA ACTION AND SMP. (202) 455-8428. (202) 871-9255. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.";1193072;3101;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Senate Leadership Fund";"SENATE LEADERSHIP FUND";1184236;1568;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_Action_Commitees";"pac";"YES";"C00571703";"VA";"U";"";"";"";"";"O"
"The Voter Participation Center";"VOTER PARTICIPATION CENTER";1180723;7575;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"Mytacticalpromos";"ENTREMAX";1162330;1203;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"?";"other";"NO";"";"";"";"";"";"";"";""
"Kimberly Klacik";"KIM KLACIK FOR CONGRESS";1156768;387;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Candidate Committee";"campaign committee";"YES";"C00726117";"MD";"P";"REP";"";"NONE";"H0MD07197";"H"
"BlackPAC";"BLACK PAC";1153181;891;"DEMOCRATIC";"DEMOCRATIC";"civil rights";"civil rights";"Political_Action_Commitees";"pac";"YES";"C00609388";"NY";"U";"";"";"BLACKPAC AND EMILY'S LIST WOMEN VOTE! JOINT FUNDRAISING COMMITTEE";"";"O"
"Reverend Raphael Warnock";"WARNOCK FOR GEORGIA";1137572;1945;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00736876";"GA";"P";"DEM";"";"";"S0GA00559";"S"
"ProgressPop";"PROGRESSPOP";1102812;9280;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"MoveOn";"MOVEON.ORG POLITICAL ACTION";1100685;11449;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00341396";"DC";"U";"";"";"";"";"W"
"Meme2020";"MEME2020";1087345;553;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Martha McSally";"MCSALLY FOR SENATE INC";1057449;2359;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00666040";"AZ";"P";"REP";"";"MCSALLY FOR CONGRESS";"S8AZ00221";"S"
"Michigan Values";"SMP";1047921;28;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00484642";"DC";"U";"";"";"";"";"O"
"Florida Votes Trump Out";"TECH FOR CAMPAIGNS";1047170;678;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"Political_Action_Commitees";"pac";"YES";"C00636027";"CA";"U";"";"";"NONE";"";"V"
"The Presidential Coalition";"THE PRESIDENTIAL COALITION";1045700;376;"REPUBLICAN";"REPUBLICAN";"ideology";"Ideology/Single Issue";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"SEIU";"SEIU";1029107;916;"DEMOCRATIC";"DEMOCRATIC";"Labor";"Ideology/Single Issue";"Corporation_and_Labor_special_funds";"corporation/labor";"YES";"C00004036";"DC";"B";"";"L";"SERVICE EMPLOYEES INTERNATIONAL UNION";"";"Q"
"Joe Collins";"JOE COLLINS FOR CONGRESS";1025853;334;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00705236";"CA";"P";"REP";"";"NONE";"H0CA43108";"H"
"Balance of Power";"BALANCE OF POWER";1005003;2828;"DEMOCRATIC";"DEMOCRATIC";"merchandize";"merchandize";"?";"other";"NO";"";"";"";"";"";"";"";""
"Theresa Greenfield";"THERESA GREENFIELD FOR IOWA";999311;1110;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00708164";"IA";"P";"DEM";"";"2020 SENATE IMPACT";"S0IA00176";"S"
